"filename", "language", "Python", "pip requirements", "Markdown", "Rust", "comment", "blank", "total"
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\README.md", "Markdown", 0, 0, 66, 0, 0, 24, 90
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\__init__.py", "Python", 0, 0, 0, 0, 2, 1, 3
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\main.py", "Python", 936, 0, 0, 0, 282, 198, 1416
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\requirements.txt", "pip requirements", 0, 5, 0, 0, 2, 2, 9
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_cycle_generic.rs", "Rust", 0, 0, 0, -104, -1, -4, -109
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_cycle_pruning.rs", "Rust", 0, 0, 0, -98, -2, -3, -103
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_edge_aggregate.rs", "Rust", 0, 0, 0, -65, 0, -4, -69
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_profit.rs", "Rust", 0, 0, 0, -10, -3, -2, -15
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\arbitrage_profit_ranking.rs", "Rust", 0, 0, 0, -110, -6, -4, -120
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\backtest_engine.rs", "Rust", 0, 0, 0, -85, -3, -5, -93
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\bench_quote_refresh.rs", "Rust", 0, 0, 0, -43, -3, -2, -48
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\cfm_adapter.rs", "Rust", 0, 0, 0, -39, 0, -4, -43
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\common.rs", "Rust", 0, 0, 0, -18, 0, -3, -21
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\compute_budget_estimator.rs", "Rust", 0, 0, 0, -29, 0, -3, -32
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\impact_model.rs", "Rust", 0, 0, 0, -53, -1, -3, -57
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\integration_buy_fill_sell.rs", "Rust", 0, 0, 0, -42, -12, -8, -62
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_quote.rs", "Rust", 0, 0, 0, -15, -3, -4, -22
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_quote_validation.rs", "Rust", 0, 0, 0, -37, -5, -2, -44
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_simulation.rs", "Rust", 0, 0, 0, -43, -8, -2, -53
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_swap_ix.rs", "Rust", 0, 0, 0, -32, -6, -2, -40
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\raydium_swap_plan.rs", "Rust", 0, 0, 0, -23, -4, -3, -30
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\replay_deterministic.rs", "Rust", 0, 0, 0, -48, -4, -5, -57
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\risk_drawdown_and_cooldown.rs", "Rust", 0, 0, 0, -80, -13, -12, -105
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\router_best_quote.rs", "Rust", 0, 0, 0, -26, -4, -4, -34
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\router_hops2_plan.rs", "Rust", 0, 0, 0, -47, -14, -11, -72
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\router_min_out.rs", "Rust", 0, 0, 0, -31, -1, -2, -34
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\sniper_partial_exit.rs", "Rust", 0, 0, 0, -19, -6, -6, -31
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\sniper_partial_exit_state.rs", "Rust", 0, 0, 0, -54, -4, -7, -65
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\sniper_sharpe_fee_window.rs", "Rust", 0, 0, 0, -93, -3, -10, -106
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\sniper_sharpe_update.rs", "Rust", 0, 0, 0, -46, -2, -6, -54
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\tests\stub_strategy_signal_quote_sim.rs", "Rust", 0, 0, 0, -90, -8, -9, -107
"Total", "-", 936, 5, 66, -1380, 170, 95, -108
