"filename", "language", "Rust", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\README.md", "Markdown", 0, 0, 0, -66, 0, -24, -90
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\__init__.py", "Python", 0, 0, 0, 0, -2, -1, -3
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\main.py", "Python", 0, -936, 0, 0, -282, -198, -1416
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\control_plane\requirements.txt", "pip requirements", 0, 0, -5, 0, -2, -2, -9
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\arbitrage\cycle_finder.rs", "Rust", 341, 0, 0, 0, 75, 79, 495
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\arbitrage\mod.rs", "Rust", 14, 0, 0, 0, 29, 4, 47
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\arbitrage\multi_hop_integration.rs", "Rust", 552, 0, 0, 0, 79, 85, 716
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\arbitrage\pool_graph.rs", "Rust", 294, 0, 0, 0, 55, 63, 412
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\arbitrage\pool_ranker.rs", "Rust", 313, 0, 0, 0, 61, 64, 438
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\arbitrage\types.rs", "Rust", 291, 0, 0, 0, 50, 54, 395
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\audit.rs", "Rust", 90, 0, 0, 0, 8, 12, 110
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\arb_strategy.rs", "Rust", 1966, 0, 0, 0, 378, 234, 2578
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\burn_manual_keyless.rs", "Rust", 173, 0, 0, 0, 8, 41, 222
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\execution_engine.rs", "Rust", 5498, 0, 0, 0, 588, 544, 6630
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\latency_stress.rs", "Rust", 252, 0, 0, 0, 23, 13, 288
"c:\Users\Robert Onuk\Desktop\Trading_bot\Iron_crab\src\bin\manual_swap.rs", "Rust", 80, 0, 0, 0, 35, 22, 137
